ano,sigla_uf,id_municipio,emissao_co2,emissao_mp
2007,SE,2800308,779,176
2007,PA,1501402,541,129
2007,MG,3106200,701,116
2007,RR,1400100,699,149
2007,DF,5300108,922,162
2007,MS,5002704,1464,414
2007,MT,5103403,1235,354
2007,PR,4106902,1000,210
2007,SC,4205407,990,166
2007,CE,2304400,392,76
2007,GO,5208707,999,213
2007,PB,2507507,519,113
2007,AP,1600303,665,145
2007,AL,2704302,438,110
2007,AM,1302603,879,219
2007,RN,2408102,596,133
2007,TO,1721000,903,203
2007,RS,4314902,813,140
2007,RO,1100205,1841,564
2007,PE,2611606,483,99
2007,AC,1200401,680,163
2007,RJ,3304557,536,124
2007,BA,2927408,412,91
2007,MA,2111300,920,267
2007,SP,3550308,731,144
2007,PI,2211001,652,157
2007,ES,3205309,773,133
2008,SE,2800308,781,165
2008,PA,1501402,498,109
2008,MG,3106200,700,116
2008,RR,1400100,816,169
2008,DF,5300108,903,147
2008,MS,5002704,1616,448
2008,MT,5103403,1325,373
2008,PR,4106902,984,203
2008,SC,4205407,836,116
2008,CE,2304400,491,104
2008,GO,5208707,1005,211
2008,PB,2507507,528,103
2008,AP,1600303,676,136
2008,AL,2704302,422,100
2008,AM,1302603,1189,314
2008,RN,2408102,627,128
2008,TO,1721000,885,185
2008,RS,4314902,788,127
2008,RO,1100205,1887,551
2008,PE,2611606,492,97
2008,AC,1200401,707,160
2008,RJ,3304557,521,117
2008,BA,2927408,421,95
2008,MA,2111300,1113,326
2008,SP,3550308,749,147
2008,PI,2211001,721,171
2008,ES,3205309,732,124
2009,SE,2800308,682,121
2009,PA,1501402,467,92
2009,MG,3106200,711,109
2009,RR,1400100,868,157
2009,DF,5300108,878,134
2009,MS,5002704,1479,374
2009,MT,5103403,1297,350
2009,PR,4106902,960,200
2009,SC,4205407,819,101
2009,CE,2304400,504,98
2009,GO,5208707,929,181
2009,PB,2507507,560,102
2009,AP,1600303,586,96
2009,AL,2704302,426,94
2009,AM,1302603,1467,389
2009,RN,2408102,562,100
2009,TO,1721000,858,170
2009,RS,4314902,766,111
2009,RO,1100205,2028,556
2009,PE,2611606,505,99
2009,AC,1200401,674,144
2009,RJ,3304557,514,108
2009,BA,2927408,404,85
2009,MA,2111300,993,269
2009,SP,3550308,712,133
2009,PI,2211001,714,151
2009,ES,3205309,751,113
2010,SE,2800308,739,115
2010,PA,1501402,513,93
2010,MG,3106200,852,110
2010,RR,1400100,1445,322
2010,DF,5300108,1005,135
2010,MS,5002704,1563,360
2010,MT,5103403,1330,334
2010,PR,4106902,1148,212
2010,SC,4205407,989,94
2010,CE,2304400,573,101
2010,GO,5208707,987,178
