ano,sigla_uf,id_municipio,prop_calcadas,prop_rampas
2010,PA,1500800,36.34,0.63
2010,PA,1501501,1.28,0.01
2010,PA,1502400,22.96,0.38
2010,PA,1504422,1.32,0.05
2010,PA,1506351,26.57,0.58
2010,PA,1506500,12.61,0.07
2010,CE,2301000,40.82,0.01
2010,CE,2303501,62.62,1.5
2010,CE,2303709,60.91,1.18
2010,CE,2303956,76.33,2.29
2010,CE,2304285,13.47,0.01
2010,CE,2304954,22.06,0.3
2010,CE,2305233,36.87,0.06
2010,CE,2306256,16.49,0.14
2010,CE,2307650,66.84,0.9
2010,CE,2307700,32.48,0.4
2010,CE,2309607,48.76,0.55
2010,CE,2309706,74.05,1.65
2010,CE,2310209,48.56,0.02
2010,CE,2310258,72.75,1.53
2010,CE,2310852,22.03,1.1
2010,CE,2312403,41.54,1.6
2010,CE,2312601,79.87,
2010,CE,2313500,27.76,0.93
2010,BA,2905701,51.81,3.66
2010,BA,2906501,66.58,0.19
2010,BA,2910057,33.23,0.45
2010,BA,2916104,39.13,0.9
2010,BA,2919207,71.04,1.83
2010,BA,2919926,92.2,5.83
2010,BA,2921005,36.99,2.24
2010,BA,2925204,81.88,0.75
2010,BA,2929206,82.01,0.61
2010,BA,2929503,65.89,0.93
2010,BA,2930709,73.49,2.25
2010,BA,2933208,21.85,0.98
2010,RO,1100205,42,1
2010,AC,1200401,31,7
2010,AM,1302603,50,2
2010,RR,1400100,18,2
2010,PA,1501402,51,3
2010,AP,1600303,34,2
2010,TO,1721000,58,1
2010,MA,2111300,65,2
2010,PI,2211001,72,3
2010,CE,2304400,83,2
2010,RN,2408102,73,3
2010,PB,2507507,76,2
2010,PE,2600054,36,0
2010,PE,2601052,15,1
2010,PE,2602902,51,0
2010,PE,2603454,33,1
2010,PE,2606804,6,0
2010,PE,2607208,55,1
2010,PE,2607604,16,0
2010,PE,2607752,26,0
2010,PE,2607901,45,0
2010,PE,2609402,29,1
2010,PE,2609600,59,1
2010,PE,2610707,54,0
2010,PE,2611606,75,5
2010,PE,2613701,34,0
2010,AL,2704302,71,6
2010,SE,2800308,88,8
2010,BA,2927408,63,2
2010,MG,3105004,70,0
2010,MG,3106200,94,10
2010,MG,3106705,76,1
2010,MG,3109006,48,1
2010,MG,3109303,3,0
2010,MG,3109451,14,1
2010,MG,3110004,77,0
2010,MG,3112505,49,0
2010,MG,3117876,43,0
2010,MG,3118601,89,1
2010,MG,3124104,13,0
2010,MG,3126000,54,3
2010,MG,3129806,61,0
2010,MG,3130101,50,0
2010,MG,3132206,68,0
2010,MG,3133709,60,0
2010,MG,3134608,30,1
2010,MG,3136603,15,13
2010,MG,3136652,48,0
2010,MG,3137601,9,0
2010,MG,3140159,48,1
2010,MG,3140704,38,0
2010,MG,3141108,75,0
2010,MG,3144805,80,1
2010,MG,3149309,84,2
2010,MG,3153905,74,0
2010,MG,3154606,58,0
2010,MG,3154804,38,0
2010,MG,3155306,15,0
2010,MG,3156700,62,0
2010,MG,3157807,76,1
2010,MG,3162922,32,0
2010,MG,3162955,34,1
2010,MG,3165537,76,0
2010,MG,3168309,41,4
2010,MG,3170404,79,7
2010,MG,3171204,73,0
2010,ES,3205309,83,20
2010,RJ,3300456,56,1
2010,RJ,3300803,36,1
2010,RJ,3301702,76,2
2010,RJ,3301850,58,1
2010,RJ,3301900,26,0
2010,RJ,3302007,65,1
2010,RJ,3302270,35,0
2010,RJ,3302502,31,1
2010,RJ,3302700,18,0
2010,RJ,3302858,80,2
2010,RJ,3303203,96,1
2010,RJ,3303302,80,34
2010,RJ,3303500,68,2
2010,RJ,3303609,68,1
2010,RJ,3304144,53,1
2010,RJ,3304300,62,2
2010,RJ,3304557,86,9
2010,RJ,3304904,53,4
2010,RJ,3305109,83,1
2010,RJ,3305554,30,0
2010,RJ,3305752,31,0
2010,SP,3503901,75,0
2010,SP,3505708,92,4
2010,SP,3506607,60,0
2010,SP,3509007,86,1
2010,SP,3509205,68,1
2010,SP,3510609,93,0
2010,SP,3513009,60,1
2010,SP,3513801,90,1
2010,SP,3515004,83,1
2010,SP,3515103,46,0
2010,SP,3515707,82,1
2010,SP,3516309,39,0
2010,SP,3516408,75,1
2010,SP,3518305,54,1
2010,SP,3518800,89,2
2010,SP,3522208,80,0
2010,SP,3522505,63,1
2010,SP,3523107,74,1
2010,SP,3525003,86,2
2010,SP,3526209,39,0
2010,SP,3528502,39,0
2010,SP,3529401,90,2
2010,SP,3530607,84,1
2010,SP,3534401,94,3
2010,SP,3539103,83,0
2010,SP,3539806,96,1
2010,SP,3543303,82,1
2010,SP,3544103,61,2
2010,SP,3545001,81,1
2010,SP,3546801,65,0
2010,SP,3547304,65,0
2010,SP,3547809,91,5
2010,SP,3548708,93,5
2010,SP,3548807,100,31
2010,SP,3549953,63,7
2010,SP,3550308,93,9
2010,SP,3552502,79,2
2010,SP,3552809,92,1
2010,SP,3556453,76,0
2010,PR,4100202,41,2
2010,PR,4100301,14,3
2010,PR,4100400,7,4
2010,PR,4101804,39,14
2010,PR,4102307,22,3
2010,PR,4103107,11,0
2010,PR,4104006,17,6
2010,PR,4104105,27,0
2010,PR,4104204,42,5
2010,PR,4104253,20,7
2010,PR,4105201,26,10
2010,PR,4105805,26,2
2010,PR,4106209,27,7
2010,PR,4106902,67,13
2010,PR,4107652,17,11
2010,PR,4111258,14,2
2010,PR,4113205,44,10
2010,PR,4114302,19,2
2010,PR,4119103,16,6
2010,PR,4119152,23,4
2010,PR,4119509,10,3
2010,PR,4120804,46,14
2010,PR,4121208,58,0
2010,PR,4122206,28,0
2010,PR,4122305,19,4
2010,PR,4125506,47,4
2010,PR,4127601,6,1
2010,PR,4127882,8,0
2010,PR,4128633,2,0
2010,SC,4205407,62,7
2010,RS,4314902,77,23
2010,MS,5002704,67,25
2010,MT,5103403,63,4
2010,GO,5200100,17,4
2010,GO,5200175,34,0
2010,GO,5200258,4,0
2010,GO,5200308,63,1
2010,GO,5204003,48,30
2010,GO,5205497,41,1
2010,GO,5205513,65,0
2010,GO,5205802,50,1
2010,GO,5206206,51,0
2010,GO,5208004,62,2
2010,GO,5208707,89,10
2010,GO,5212501,25,0
2010,GO,5213053,4,0
2010,GO,5215231,41,0
2010,GO,5215603,21,7
2010,GO,5217302,78,3
2010,GO,5217609,16,0
2010,GO,5219753,31,2
2010,GO,5221858,46,1
2010,GO,5222203,91,9
2010,DF,5300108,78,16
