ano,sigla_uf,id_municipio,indicador,prop_pessoas_proximas_ciclovias
2019,SE,280030,PNB Geral,20
2019,PA,150140,PNB Geral,30
2019,MG,310620,PNB Geral,11
2019,RR,140010,PNB Geral,15
2019,DF,530010,PNB Geral,28
2019,MS,500270,PNB Geral,13
2019,MT,510340,PNB Geral,2
2019,PR,410690,PNB Geral,18
2019,SC,420540,PNB Geral,15
2019,CE,230440,PNB Geral,38
2019,GO,520870,PNB Geral,5
2019,PB,250750,PNB Geral,9
2019,AP,160030,PNB Geral,0
2019,AL,270430,PNB Geral,7
2019,AM,130260,PNB Geral,1
2019,RN,240810,PNB Geral,2
2019,TO,172100,PNB Geral,1
2019,RS,431490,PNB Geral,13
2019,RO,110020,PNB Geral,1
2019,PE,261160,PNB Geral,22
2019,AC,120040,PNB Geral,4
2019,RJ,330455,PNB Geral,15
2019,BA,292740,PNB Geral,20
2019,MA,211130,PNB Geral,1
2019,SP,355030,PNB Geral,19
2019,PI,221100,PNB Geral,9
2019,ES,320530,PNB Geral,21
2019,SE,280030,PNB 0 1/2,16
2019,PA,150140,PNB 0 1/2,24
2019,MG,310620,PNB 0 1/2,10
2019,RR,140010,PNB 0 1/2,12
2019,DF,530010,PNB 0 1/2,22
2019,MS,500270,PNB 0 1/2,11
2019,MT,510340,PNB 0 1/2,2
2019,PR,410690,PNB 0 1/2,14
2019,SC,420540,PNB 0 1/2,10
2019,CE,230440,PNB 0 1/2,33
2019,GO,520870,PNB 0 1/2,3
2019,PB,250750,PNB 0 1/2,5
2019,AP,160030,PNB 0 1/2,0
2019,AL,270430,PNB 0 1/2,4
2019,AM,130260,PNB 0 1/2,1
2019,RN,240810,PNB 0 1/2,2
2019,TO,172100,PNB 0 1/2,0
2019,RS,431490,PNB 0 1/2,10
2019,RO,110020,PNB 0 1/2,0
2019,PE,261160,PNB 0 1/2,16
2019,AC,120040,PNB 0 1/2,2
2019,RJ,330455,PNB 0 1/2,12
2019,BA,292740,PNB 0 1/2,15
2019,MA,211130,PNB 0 1/2,1
2019,SP,355030,PNB 0 1/2,15
2019,PI,221100,PNB 0 1/2,6
2019,ES,320530,PNB 0 1/2,13
2019,SE,280030,PNB 1/2 1,19
2019,PA,150140,PNB 1/2 1,29
2019,MG,310620,PNB 1/2 1,10
2019,RR,140010,PNB 1/2 1,14
2019,DF,530010,PNB 1/2 1,24
2019,MS,500270,PNB 1/2 1,12
2019,MT,510340,PNB 1/2 1,2
2019,PR,410690,PNB 1/2 1,13
2019,SC,420540,PNB 1/2 1,9
2019,CE,230440,PNB 1/2 1,35
2019,GO,520870,PNB 1/2 1,3
2019,PB,250750,PNB 1/2 1,7
2019,AP,160030,PNB 1/2 1,0
2019,AL,270430,PNB 1/2 1,5
2019,AM,130260,PNB 1/2 1,1
2019,RN,240810,PNB 1/2 1,2
2019,TO,172100,PNB 1/2 1,1
2019,RS,431490,PNB 1/2 1,9
2019,RO,110020,PNB 1/2 1,0
2019,PE,261160,PNB 1/2 1,17
2019,AC,120040,PNB 1/2 1,4
2019,RJ,330455,PNB 1/2 1,11
2019,BA,292740,PNB 1/2 1,17
2019,MA,211130,PNB 1/2 1,1
2019,SP,355030,PNB 1/2 1,15
2019,PI,221100,PNB 1/2 1,8
2019,ES,320530,PNB 1/2 1,15
2019,SE,280030,PNB 1 3,23
2019,PA,150140,PNB 1 3,36
2019,MG,310620,PNB 1 3,12
2019,RR,140010,PNB 1 3,18
2019,DF,530010,PNB 1 3,28
