ano,sigla_uf,id_municipio,indicador,prop_tma
2019,PA,1501402,Estações de TMA em operação na capital,22
2019,PA,1501402,Estações de TMA na área de cobertura da infraestrutura cicloviária,22
2019,PA,1501402,Percentual de estações de TMA próximas da infraestrutura cicloviária,1
2019,MG,3106200,Estações de TMA em operação na capital,62
2019,MG,3106200,Estações de TMA na área de cobertura da infraestrutura cicloviária,17
2019,MG,3106200,Percentual de estações de TMA na área de cobertura da infraestrutura cicloviária,0.27
2019,PR,4106902,Estações de TMA em operação na capital,118
2019,PR,4106902,Estações de TMA na área de cobertura da infraestrutura cicloviária,61
2019,PR,4106902,Percentual de estações de TMA na área de cobertura da infraestrutura cicloviária,0.52
2019,DF,5300108,Estações de TMA em operação na capital,34
2019,DF,5300108,Estações de TMA na área de cobertura da infraestrutura cicloviária,22
2019,DF,5300108,Percentual de estações de TMA na área de cobertura da infraestrutura cicloviária,0.65
2019,CE,2304400,Estações de TMA em operação na capital,21
2019,CE,2304400,Estações de TMA na área de cobertura da infraestrutura cicloviária,9
2019,CE,2304400,Percentual de estações de TMA na área de cobertura da infraestrutura cicloviária,0.43
2019,PE,2611606,Estações de TMA em operação na capital,33
2019,PE,2611606,Estações de TMA na área de cobertura da infraestrutura cicloviária,8
2019,PE,2611606,Percentual de estações de TMA na área de cobertura da infraestrutura cicloviária,0.24
2019,RJ,3304557,Estações de TMA em operação na capital,233
2019,RJ,3304557,Estações de TMA na área de cobertura da infraestrutura cicloviária,89
2019,RJ,3304557,Percentual de estações de TMA na área de cobertura da infraestrutura cicloviária,0.38
2019,BA,2927408,Estações de TMA em operação na capital,19
2019,BA,2927408,Estações de TMA na área de cobertura da infraestrutura cicloviária,11
2019,BA,2927408,Percentual de estações de TMA na área de cobertura da infraestrutura cicloviária,0.58
2019,SP,3550308,Estações de TMA em operação na capital,174
2019,SP,3550308,Estações de TMA na área de cobertura da infraestrutura cicloviária,104
2019,SP,3550308,Percentual de estações de TMA na área de cobertura da infraestrutura cicloviária,0.6
